JobTitle,Company,Location,PostDate,ExtractDate,Summary,Salary,JobUrl
Senior Internal Auditor - Compliance Risk,Truist Financial,"Charlotte, NC",17 days ago,2021-02-02,"F. addressing material issues with senior management. B. planning, scoping and developing the audit test plan. 1st shift (United States of America).",,https://www.indeed.com/rc/clk?jk=66ac6cc5dd41b56b&fccid=035229327af06091&vjs=3
Senior Audit Manager / Consumer & Small Business Banking,Wells Fargo,"Charlotte, NC",4 days ago,2021-02-02,"Experience at a financial institution or accounting firm. Evaluate current audit approaches and practices, providing thought leadership on industry best…",,https://www.indeed.com/rc/clk?jk=4a3afc0373ab7d48&fccid=78bbcd26e39621f5&vjs=3
Tax Senior Associate - International Tax,RSM US LLP,"Charlotte, NC",30+ days ago,2021-02-02,"Dedicates time to coaching others in tax software, business process, research skills, technical expertise, planning and project management skills while engaging…",,https://www.indeed.com/rc/clk?jk=486fc02e672be8ae&fccid=198b7374e1f8a26f&vjs=3
Transfer Pricing (TP) Senior- Charlotte,Ernst & Young,"Charlotte, NC",11 days ago,2021-02-02,"The Transfer Pricing (TP) competency addresses planning, documentation and controversy issues associated with all types of intercompany transactions, assisting…",,https://www.indeed.com/rc/clk?jk=36a1f27c28bec19a&fccid=1544766d4c2915b0&vjs=3
Core Tax Services Senior Manager,BDO,"Charlotte, NC",30+ days ago,2021-02-02,"The Core Tax Services Senior Manager is responsible for advising clients on the tax implications of their business objections, evaluating and selecting…",,https://www.indeed.com/rc/clk?jk=d21d1202764eadb5&fccid=3639654bd4055c70&vjs=3
Senior Accountant,QAS Management,"Charlotte, NC",6 days ago,2021-02-02,"Assist in coordinating the company’s financial planning, budgeting, and investment activities. Understanding of and ability to adhere to generally accepted…","$60,000 - $70,000 a year",https://www.indeed.com/company/QAS-Management/jobs/Senior-Accountant-97dcad36674f04e8?fccid=7045c52b353d384b&vjs=3
Business Risk & Control Sr. Assoc (Finance Control Org-Controllers Division),Wells Fargo,"Charlotte, NC",7 days ago,2021-02-02,This front line Business Risk & Control Senior Associate will report to the Business Risk and Control Senior Manager within the Controller division Business…,,https://www.indeed.com/rc/clk?jk=34a6e89daeb5194e&fccid=78bbcd26e39621f5&vjs=3
Senior Property Accountant,New Forum,"Charlotte, NC",Today,2021-02-02,Understanding of and ability to adhere to generally accepted accounting principles. Process payments and disburses funds in accordance with company policy.,"$60,000 - $70,000 a year",https://www.indeed.com/company/New-Forum/jobs/Senior-Property-Accountant-ecc6e6b5b320bf54?fccid=4097feebdb3f320d&vjs=3
Multistate Tax - State Income and Franchise - Senior,Deloitte,"Charlotte, NC",30+ days ago,2021-02-02,"Assisting with various tax consulting projects including research and writing projects related to tax planning, restructuring, due diligence, audit defense, and…",,https://www.indeed.com/rc/clk?jk=bfbb8715ade6d921&fccid=9e215d88a6b33622&vjs=3
Senior Property Accountant,Flagship Healthcare Properties,"Charlotte, NC",4 days ago,2021-02-02,Responding to questions/inquiries from tax accountants and auditors. Reviewing tax returns and entering adjusting journal entries as provided by the tax…,"$65,000 - $75,000 a year",https://www.indeed.com/company/Flagship-Healthcare-Properties/jobs/Senior-Property-Accountant-a297829cb7ac28f7?fccid=da405ab2556d8209&vjs=3
Senior Accountant,Charlotte Community Health Clinic,"Charlotte, NC",Today,2021-02-02,"Assists with maintenance of records of fixed assets and depreciation schedules. Reporting to the Chief Financial Officer, the Senior Accountant will be…",,https://www.indeed.com/rc/clk?jk=019d0b04a20df819&fccid=1ef6d1bc52ed64cf&vjs=3
International Corporate Tax Advisory (ICTA) Senior - Financial Services Organization,Ernst & Young,"Charlotte, NC",11 days ago,2021-02-02,"Tax due diligence, deal structuring, and post-acquisition planning experience and/or inbound and outbound transaction consulting with international tax research…",,https://www.indeed.com/rc/clk?jk=78d5165bb063a243&fccid=1544766d4c2915b0&vjs=3
Senior Accountant,SSG,"Charlotte, NC",19 days ago,2021-02-02,Guide junior accountants and other team members by answering questions and coordinating information sharing and learning sessions.,"$70,000 - $85,000 a year",https://www.indeed.com/company/Midtown-Search-Group/jobs/Senior-Accountant-cd503d7fcaabfce9?fccid=3cd66e9f50f66a25&vjs=3
